HH_ID,AGE_REF,FAM_SIZE,BLS_URBN,REGION,CUTENURE,VEHQ,FINLWT21,TOTEXPCQ,HOUSCQ,TRANSCQ,FOODCQ,HEALTHCQ,ENTERTCQ,MORTGAGE_QTR
0451005,53,3,1,3.0,2,3,25049.367,107826.5747,56483.0,3102.6666999999998,5330.0,12399.0,426.0,0.0
0451006,59,2,2,2.0,1,2,23342.22,12677.9999,4344.0,1156.6666,1863.3333,3992.6666999999998,618.0,0.0
0451007,57,2,1,2.0,1,5,13877.725,33139.3338,13391.0,6195.0,2452.6666999999998,3007.0,1429.0,0.0
0451008,60,4,1,4.0,4,5,16055.954,16758.9001,9435.6667,578.0,2033.3333,2258.6667,409.0,0.0
0451010,32,1,1,4.0,1,1,24168.318,25471.0002,15313.0,1140.0,2911.3333000000002,0.0,1873.0,0.0
0451011,57,1,1,3.0,4,1,37223.707,25644.8332,9989.0,3677.0,3640.0,1640.0,1002.0,0.0
0451012,42,4,1,2.0,1,1,38931.289,22559.0,14361.0,425.0,1386.6667,368.6667,230.0,0.0
0451014,69,1,1,1.0,1,0,24465.567,18840.0,10388.0,2108.0,2210.0,1180.0,394.0,0.0
0451017,43,2,1,3.0,1,2,29797.851,21354.3866,4185.0,845.0,736.6667,1061.3333,249.0,0.0
0451018,75,3,1,4.0,2,4,24660.585,21330.3334,7174.6666,1681.0,5633.3334,3256.6666999999998,1621.0,0.0
0451019,56,1,1,3.0,4,1,27816.05,8901.3334,3778.0,985.0,1256.6667,887.0,283.0,0.0
0451022,67,1,1,3.0,2,1,31453.223,7112.6666000000005,2232.0,1254.0,1343.3333,2023.3333,40.0,0.0
0451024,34,2,1,3.0,4,1,33438.615,10381.0,5740.0,1422.6667,1655.3333,460.0,407.0,0.0
0451025,60,1,1,3.0,4,1,16999.641,10952.8333,2847.0,1113.3333,1513.3333,680.0,1940.0,0.0
0451026,32,2,1,2.0,1,2,29829.979,41026.190800000004,12089.0001,6258.000099999999,4420.0,6434.0,1943.0,0.0
0451031,60,2,1,1.0,1,0,16924.788,32132.5,12793.1667,7133.3333,3594.0,0.0,461.0,0.0
0451032,75,2,1,2.0,2,2,21301.056,48329.241500000004,9534.000100000001,4325.3333999999995,3120.0,5108.6667,662.0,0.0
0451033,35,5,1,4.0,4,3,20569.28,32208.8335,15091.0,3127.0,5893.3333,150.0,1484.0,0.0
0451034,59,4,1,1.0,4,1,40728.449,12217.0001,6765.0,480.0,1196.0,504.0,2253.0,0.0
0451035,57,8,1,3.0,2,4,31252.052,33003.8335,6186.0001,4461.6667,11093.3333,1359.3333,2080.0,0.0
0451038,43,1,1,2.0,4,1,19172.328,11297.1666,4262.0,748.0,2023.3333,915.3333,20.0,0.0
0451039,29,2,1,3.0,1,3,33974.08,24253.3334,9579.0,1114.0,2003.3333,1006.6667,1514.0,0.0
0451040,74,2,1,3.0,2,4,41631.814,25642.6667,10216.0,1172.3333,6370.0,3305.6666999999998,1768.0,0.0
0451041,68,1,1,3.0,1,1,23636.412,7436.0,1993.3334,1480.0,667.3333,1791.3333,384.0,0.0
0451042,68,2,1,2.0,2,0,18878.294,10177.3334,2246.6667,2154.0,1126.6667,2728.0,726.0,0.0
0451043,82,2,1,2.0,2,2,20158.126,11148.6666,4216.9999,742.0,1976.0,3260.6666999999998,653.0,0.0
0451044,58,1,1,4.0,4,1,25884.855,17615.999799999998,6776.6667,1969.0,2513.3333000000002,1798.0,0.0,0.0
0451047,41,2,1,3.0,1,3,32107.09,62997.8902,12616.6667,2684.0,10555.3333,3766.0,5433.0,0.0
0451049,59,2,1,4.0,2,3,2254.59,26346.0,11059.6666,1216.6667,4116.6666000000005,5200.0,200.0,0.0
0451050,31,2,1,3.0,4,2,37658.993,23597.590600000003,9218.0,1488.0,2998.6666999999998,2772.0,655.0,0.0
