QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20202,04280713,20,0,5,01,D,100,D,.0397,D,425000,D,30,D,2300,D,3,D,4,D,,A,,A,278,D,616,D,618,D,620,D,1406,D,1404,D,1402,D,,A,02,D,2020,D,1,D,022020,D,425000,D,424384,D,423766,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04280793,9,0,5,01,D,100,D,.0500,F,186,F,30,F,1,F,,C,,C,,C,,C,0,F,0,F,0,F,0,F,1,F,1,F,1,F,,A,11,F,2019,F,1,F,,A,186,F,185,F,185,F,01,D,,C,,C,,C,,A,,A,,A,,C,,A,,C
20202,04281013,19,0,5,01,D,100,D,.0454,D,804516,T,30,D,3353,D,3,D,4,D,5,D,,A,299,D,842,D,846,D,849,D,2212,D,2208,D,2205,D,,A,07,D,2018,D,1,D,,A,751698,T,754975,T,751626,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04281243,21,0,5,01,D,100,D,.0398,D,48000,D,20,D,547,D,3,D,4,D,,A,,A,257,D,169,D,170,D,170,D,121,D,120,D,120,D,,A,08,D,2013,D,1,D,,A,36378,D,36209,D,36039,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04281293,14,0,5,01,D,100,D,.0475,D,265900,D,30,D,1885,D,3,D,4,D,,A,,A,498,D,347,D,348,D,349,D,1040,D,1039,D,1038,D,,A,05,D,2019,D,1,D,,A,262842,D,262495,D,262147,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281313,47,0,5,01,D,100,D,.0397,D,804516,T,30,D,3650,D,3,D,4,D,,A,,A,540,D,947,D,950,D,953,D,2163,D,2160,D,2157,D,,A,02,D,2020,D,1,D,,A,751698,T,754975,T,751626,T,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04281343,24,0,1,01,D,100,D,.0397,D,243647,D,30,D,1570,D,3,D,4,D,5,D,,A,411,D,,A,,A,353,D,,A,,A,806,D,,A,04,D,2020,D,1,D,,A,,A,,A,243647,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281383,13,0,5,01,D,100,D,.0450,D,220000,D,30,D,1460,D,3,D,4,D,,A,,A,345,D,528,D,530,D,532,D,587,D,585,D,583,D,,A,10,D,2006,D,1,D,,A,156581,D,156053,D,155523,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281503,13,0,5,01,D,100,D,.0450,D,87000,D,15,D,671,D,3,D,4,D,,A,,A,5,D,455,D,457,D,458,D,211,D,209,D,208,D,,A,08,D,2013,D,1,D,,A,56283,D,55828,D,55371,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281523,29,0,5,01,D,100,D,.0450,D,94000,D,30,D,628,D,3,D,4,D,,A,,A,152,D,131,D,132,D,132,D,345,D,344,D,344,D,,A,10,D,2018,D,1,D,,A,91967,D,91836,D,91705,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281533,22,0,5,01,D,100,D,.0450,D,337713,D,10,D,3500,D,,A,,A,,A,,A,0,D,1973,T,1917,T,1915,T,746,D,735,D,725,D,,A,06,D,2015,D,1,D,,A,198818,D,196064,D,193299,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281533,23,0,5,02,D,300,D,.0450,D,500000,D,30,D,5409,T,,B,,B,,B,,B,1967,D,811,D,814,D,818,D,1722,D,1719,D,1715,D,,A,06,D,2015,D,1,D,,A,459082,D,458271,D,457456,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281553,9,0,5,01,D,100,D,.0400,D,160000,D,30,D,1000,D,3,D,,A,,A,,A,236,D,255,D,256,D,257,D,509,D,508,D,507,D,,A,08,D,2017,D,1,D,,A,152735,D,152480,D,152224,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281603,51,0,5,01,D,100,D,.0425,D,250000,D,15,D,2123,D,,B,,B,,B,,B,242,D,1973,T,1917,T,1915,T,488,D,483,D,478,D,,A,03,D,2012,D,1,D,,A,137797,D,136404,D,135006,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04281623,19,0,1,01,D,100,D,.0385,D,177549,D,15,D,1300,D,,A,,A,,A,,A,0,D,888,D,891,D,894,D,412,D,409,D,406,D,,A,01,D,2015,D,1,D,,A,128425,D,127537,D,126646,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04281643,9,0,5,01,D,100,D,.0500,D,133000,D,30,D,1400,D,3,D,4,D,,A,,A,686,D,204,D,205,D,206,D,510,D,509,D,508,D,,A,03,D,2015,D,1,D,,A,122335,D,122130,D,121925,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281743,11,0,1,01,D,100,D,.0425,D,440000,D,30,D,2200,D,3,D,4,D,,A,,A,35,D,699,D,701,D,704,D,1466,D,1464,D,1461,D,,A,10,D,2016,D,1,D,,A,413980,D,413281,D,412580,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281743,12,0,1,02,D,200,D,.0425,F,350000,F,30,F,2000,F,3,F,4,F,,A,,A,278,F,546,F,548,F,550,F,1176,F,1174,F,1172,F,,A,03,F,2017,F,1,F,,A,332058,F,331512,F,330964,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281753,14,0,5,01,D,100,D,.0400,D,140000,D,30,D,1380,D,3,D,4,D,,A,,A,712,D,222,D,223,D,224,D,446,D,445,D,444,D,,A,08,D,2017,D,1,D,,A,133659,D,133436,D,133213,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281793,16,0,5,01,D,100,D,.0480,D,78035,D,15,D,807,D,3,D,4,D,,A,,A,198,D,383,D,385,D,386,D,226,D,224,D,223,D,,A,10,D,2014,D,1,D,,A,56432,D,56048,D,55663,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04281843,28,0,5,01,D,100,D,.0469,D,252299,D,30,D,1800,D,3,D,4,D,,A,,A,493,D,499,D,501,D,503,D,808,D,806,D,804,D,,A,09,D,2010,D,1,D,,A,206814,D,206315,D,205815,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04281913,9,0,5,01,D,100,D,.0587,D,80000,D,30,D,650,D,3,D,4,D,,A,,A,177,D,192,D,193,D,194,D,281,D,280,D,279,D,,A,07,D,2005,D,1,D,,A,57480,D,57288,D,57095,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04281923,24,0,5,01,D,100,D,.0385,D,540000,D,30,D,5409,T,,B,,B,,B,,B,1268,D,941,D,944,D,947,D,1591,D,1588,D,1585,D,,A,11,D,2015,D,1,D,,A,495777,D,494835,D,493891,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20202,04282123,15,0,5,01,D,100,D,.0425,D,360000,D,30,D,2534,D,3,D,4,D,,A,,A,763,D,508,D,510,D,512,D,1263,D,1261,D,1259,D,,A,07,D,2019,D,1,D,,A,356491,D,355982,D,355472,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04282163,13,0,5,01,D,100,D,.0385,D,71000,D,30,D,624,D,3,D,4,D,,A,,A,291,D,127,D,128,D,128,D,206,D,205,D,205,D,,A,03,D,2015,D,1,D,,A,64178,D,64051,D,63924,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20202,04282403,17,0,5,01,D,100,D,.0450,D,207000,D,30,D,1500,D,3,D,,A,,A,,A,451,D,291,D,292,D,293,D,758,D,757,D,756,D,,A,09,D,2018,D,1,D,,A,202222,D,201931,D,201639,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
