QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20203,04314163,27,0,1,1950,D,325,D,,A,0,D,0,D,,A,,A,1625,D,0,D,,A,,A,,A,,A
20203,04314173,23,0,1,1625,D,260,D,,A,0,D,0,D,,A,,A,1365,D,0,D,,A,,A,,A,,A
20203,04314183,34,0,1,1625,D,650,D,130,D,520,D,0,D,,A,,A,975,D,0,D,,A,,A,,A,,A
20203,04314193,13,0,1,2145,D,325,D,,A,0,D,0,D,,A,,A,1820,D,0,D,20,D,260,D,,A,,A
20203,04314243,26,0,1,1690,D,325,D,,A,0,D,0,D,,A,,A,1365,D,0,D,,A,,A,,A,,A
20203,04314263,28,0,1,1625,D,390,D,,A,650,D,180,D,,A,,A,1235,D,360,D,,A,,A,,A,,A
20203,04314293,37,0,1,1950,D,845,D,,A,845,D,0,D,,A,,A,1105,D,300,D,,A,,A,,A,,A
20203,04314323,13,0,1,1040,D,130,D,,A,260,D,0,D,150,D,,A,910,D,120,D,,A,,A,,A,,A
20203,04314333,31,0,1,1950,D,130,D,,A,1300,D,0,D,,A,,A,1820,D,150,D,,A,,A,,A,,A
20203,04314363,14,0,1,1040,D,130,D,,A,390,D,30,D,,A,,A,910,D,150,D,,A,,A,13,D,1,D
20203,04314373,42,0,1,2600,D,260,D,390,D,260,D,0,D,,A,,A,2340,D,450,D,,A,,A,,A,,A
20203,04314403,29,0,1,1625,D,325,D,,A,520,D,0,D,,A,,A,1300,D,150,D,,A,,A,,A,,A
20203,04314413,36,0,1,1300,D,390,D,260,D,390,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
