QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20202,04227954,13,0,5,01,D,105,D,2018,D,,A,36,D,09,F,480,D,3,D,,A,,A,,A,,A,,A,480,D,480,D,480,D,,A,,A,,A,,A,,A,D,,A,2018,D,FOR
20202,04228094,17,0,5,02,D,105,D,2020,D,,A,36,D,11,D,350,D,3,D,,A,,A,550,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,550,D,,A,D,,A,2019,D,SUB
20202,04228114,19,0,5,01,D,105,D,2017,D,,A,39,D,12,D,311,D,3,D,,A,,A,2000,D,,A,03,D,311,D,311,D,,A,,A,,A,,A,2000,D,490,D,D,,A,2016,D,CHE
20202,04228604,31,0,5,01,D,105,D,,C,,A,36,D,01,F,180,D,3,D,,A,,C,,A,,A,,A,180,D,180,D,180,D,,A,,A,,A,,A,,A,D,,A,2020,F,VOK
20202,04229254,12,0,5,01,D,105,D,2019,D,,A,36,D,08,D,270,D,3,D,,A,1200,D,1000,D,,A,,A,270,D,270,D,270,D,,A,,A,,A,1000,D,,A,D,,A,2019,D,TOY
20202,04229604,9,0,5,01,D,105,D,2018,D,,A,36,D,07,D,293,D,3,D,,A,,A,2000,D,,A,,A,293,D,293,D,293,D,,A,,A,,A,2000,D,,A,D,,A,2019,D,MAZ
20202,04229774,27,0,5,01,D,105,D,2019,D,,A,48,D,11,D,415,D,3,D,,A,,A,,A,,A,,A,415,D,415,D,415,D,5,D,5,D,5,D,,A,,A,D,,A,2018,D,HYU
20202,04229774,28,0,5,02,D,105,D,2019,D,,A,48,D,11,D,440,D,3,D,,A,5500,D,,A,,A,,A,440,D,440,D,440,D,5,D,5,D,5,D,,A,,A,D,,A,2018,D,HYU
20202,04229924,23,0,5,01,D,105,D,2017,D,,A,36,D,06,D,167,D,3,D,,A,,A,999,D,,A,03,D,167,D,167,D,,A,,A,,A,,A,999,D,,A,D,,A,2017,D,KIA
20202,04230224,11,0,5,01,D,105,D,2019,D,,A,36,D,08,D,380,D,3,D,,A,,A,,A,,A,,A,380,D,380,D,380,D,,A,,A,,A,,A,,A,D,,A,2019,D,MAZ
20202,04230714,12,0,5,01,D,105,D,2018,D,,A,36,D,05,D,359,D,3,D,,A,,A,,A,,A,,A,359,D,359,D,359,D,,A,,A,,A,,A,,A,D,,A,2018,D,TOY
20202,04231034,11,0,5,01,D,105,D,2016,D,,A,48,D,12,D,330,D,3,D,,A,,A,,A,,A,,A,330,D,330,D,330,D,,A,,A,,A,,A,,A,D,,A,2016,D,VOK
20202,04231214,20,0,5,01,D,105,D,2019,D,,A,36,D,06,F,,C,3,D,,A,10000,D,,A,,A,,A,700,F,700,F,700,F,,A,,A,,A,,A,,A,D,,A,2019,D,JEE
20202,04231334,16,0,5,01,D,105,D,2018,D,,A,36,D,01,D,270,D,3,D,,A,,A,,A,,A,,A,270,D,270,D,270,D,,A,,A,,A,,A,,A,D,,A,2019,D,CHE
20202,04231524,14,0,1,01,D,105,D,2018,D,,A,36,D,03,F,500,D,3,D,,A,2500,D,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2018,D,CHR
20202,04231864,20,0,5,01,D,105,D,2019,D,,A,42,D,08,D,295,D,3,D,,A,13000,D,595,D,,A,,A,295,D,295,D,295,D,,A,,A,,A,595,D,,A,D,,A,2019,D,JEE
20202,04232244,13,0,5,01,D,105,D,2019,D,,A,36,D,02,D,300,D,3,D,,A,,A,4000,D,,A,,A,300,D,300,D,300,D,,A,,A,,A,4000,D,,A,D,,A,2019,D,ACU
20202,04232284,15,0,5,01,D,105,D,2017,D,,A,36,D,08,D,239,D,3,D,,A,,A,1000,D,,A,,A,239,D,239,D,239,D,,A,,A,,A,1000,D,,A,D,,A,2017,D,CHE
20202,04232284,16,0,5,02,D,105,D,2017,D,,A,36,D,06,D,451,D,3,D,,A,,A,1000,D,,A,,A,451,D,451,D,451,D,,A,,A,,A,1000,D,,A,D,,A,2017,D,CAD
20202,04232284,17,0,5,03,D,105,D,2019,D,,A,36,D,03,D,391,D,3,D,,A,,A,1000,D,,A,,A,391,D,391,D,391,D,,A,,A,,A,1000,D,,A,D,,A,2019,D,CAD
20202,04232904,27,0,5,01,D,105,D,2018,D,,A,36,D,12,D,322,D,3,D,,A,,A,,A,,A,,A,322,D,322,D,322,D,,A,,A,,A,,A,,A,D,,A,2017,D,TOY
20202,04233474,15,0,5,02,D,105,D,2018,D,,A,24,D,12,F,203,D,3,D,,A,,A,,A,,A,,A,203,D,203,D,203,D,,A,,A,,A,,A,,A,D,,A,2018,D,DOD
20202,04233474,16,0,5,03,D,105,D,2019,D,,A,24,D,11,D,250,D,3,D,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2019,D,GMC
20202,04233914,12,0,5,01,D,105,D,2019,D,,A,36,D,01,D,377,D,3,D,,A,750,D,,A,,A,,A,377,D,377,D,377,D,,A,,A,,A,,A,,A,D,,A,2019,D,TOY
20202,04234244,23,0,5,01,D,105,D,2019,D,,A,36,D,05,D,349,D,3,D,,A,,A,2000,D,,A,,A,349,D,349,D,349,D,,A,,A,,A,2000,D,,A,D,,A,2018,D,JEE
20202,04234244,24,0,5,02,D,105,D,2018,D,,A,36,D,01,D,359,D,3,D,,A,,A,1500,D,,A,,A,359,D,359,D,359,D,,A,,A,,A,1500,D,,A,D,,A,2019,D,TOY
20202,04234644,15,0,5,01,D,105,D,2016,D,,A,36,D,11,D,448,D,3,D,,A,,A,,A,,A,,A,448,D,448,D,448,D,,A,,A,,A,,A,,A,D,,A,2018,D,CAD
20202,04234824,14,0,5,01,D,105,D,2017,D,,A,36,D,08,D,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2017,D,CHE
20202,04234824,15,0,5,02,D,105,D,2017,D,,A,36,D,01,D,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2017,D,CHE
20202,04235264,20,0,5,01,D,105,D,2016,D,,A,36,D,02,D,275,D,3,D,,A,,A,2000,D,,A,,A,275,D,275,D,275,D,,A,,A,,A,2000,D,,A,D,,A,2016,D,KIA
20202,04235764,9,0,1,01,D,105,D,2017,D,,A,48,D,06,D,427,D,3,D,,A,,A,,A,,A,,A,427,D,427,D,427,D,,A,,A,,A,,A,,A,D,,A,2017,D,HYU
20202,04236054,21,0,1,01,D,105,D,2018,D,,A,36,D,06,D,250,D,3,D,,A,,A,3000,D,,A,,A,250,D,250,D,250,D,,A,,A,,A,3000,D,,A,D,,A,2018,D,FOR
20202,04236094,13,0,5,01,D,105,D,2018,D,,A,36,D,05,D,450,D,3,D,,A,,A,2000,D,,A,,A,450,D,450,D,450,D,,A,,A,,A,2000,D,,A,D,,A,2018,D,BUI
20202,04237294,24,0,5,01,D,105,D,2017,D,,A,36,D,07,D,390,D,3,D,,A,,A,,A,,A,04,D,390,D,390,D,,A,,A,,A,,A,,A,298,D,D,,A,2017,D,DOD
20202,04237734,8,0,5,01,D,105,D,2008,D,,A,24,D,03,D,419,D,3,D,,A,,A,700,D,,A,,A,419,D,419,D,419,D,,A,,A,,A,700,D,,A,D,,A,2020,D,CHE
20202,04238154,20,0,5,01,D,105,D,2018,D,,A,36,D,02,D,525,D,3,D,,A,,A,,A,,A,,A,525,D,525,D,525,D,,A,,A,,A,,A,,A,D,,A,2018,D,CHE
