QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20203,04379772,18,0,1,2,D,20,D,20,D,,A,,A,2,D,1,D,2,D,2,D,80,D,,A
20203,04383362,12,0,1,5,D,,A,,A,,A,,A,,A,,A,,A,,A,40,D,,A
20203,04389332,26,0,1,2,D,150,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20203,04392094,40,0,1,2,D,259,D,,A,,A,200,D,,A,,A,,A,,A,50,D,,A
20203,04392152,13,0,1,1,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20203,04402212,28,0,1,6,D,,A,,A,,A,,A,,A,,A,,A,,A,75,D,10,D
20203,04414642,33,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20203,04415062,30,0,1,7,D,1200,D,,A,,A,,A,,A,,A,,A,,A,400,D,,A
20203,04417102,15,0,1,1,D,86,D,,A,,A,,A,,A,,A,,A,,A,15,D,20,D
20203,04461261,33,0,1,2,D,500,D,50,D,,A,,A,,A,,A,,A,,A,150,D,,A
20203,04462381,26,0,1,1,D,93,G,8,G,,A,,A,1,D,1,D,2,D,2,D,28,G,,A
20203,04464021,25,0,1,1,D,249,D,,A,,A,,A,,A,,A,,A,,A,50,D,10,D
20203,04467261,14,0,1,2,D,25,D,,A,12,D,,A,,A,,A,,A,,A,,A,18,D
20203,04468264,10,0,1,1,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20203,04468471,11,0,1,6,D,700,D,,A,,A,,A,,A,,A,,A,,A,375,D,125,D
20203,04469891,43,0,1,2,D,600,D,,A,,A,,A,,A,,A,,A,,A,150,D,,A
20203,04504201,28,0,1,1,D,350,D,100,D,,A,,A,,A,,A,,A,,A,400,D,,A
20203,04512261,49,0,1,3,D,600,D,,A,,A,45,D,,A,,A,,A,,A,240,D,,A
20204,04310244,42,0,1,4,D,500,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
20204,04310244,43,0,1,4,D,612,G,69,G,,A,131,G,1,D,1,D,1,D,2,D,188,G,,A
20204,04310374,34,0,1,4,D,400,D,,A,,A,,A,,A,,A,,A,,A,400,D,70,D
20204,04314474,13,0,1,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04314894,15,0,1,7,D,,A,,A,,A,,A,,A,,A,,A,,A,600,D,,A
20204,04318804,55,0,1,4,D,311,G,42,G,,A,143,G,1,D,1,D,1,D,2,D,254,G,,A
20204,04321574,32,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20204,04321934,21,0,1,1,D,324,D,90,D,,A,500,D,,A,,A,,A,,A,110,D,,A
20204,04323704,47,0,1,21,D,900,D,,A,,A,80,D,,A,,A,,A,,A,300,D,300,D
20204,04323814,17,0,1,3,D,,A,50,D,,A,80,D,,A,,A,,A,,A,25,D,80,D
20204,04325714,14,0,1,2,D,320,D,,A,,A,,A,,A,,A,,A,,A,200,D,200,D
20204,04328294,14,0,2,3,D,240,D,20,D,,A,,A,,A,,A,,A,,A,60,D,15,D
20204,04341784,62,0,1,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20204,04350254,29,0,1,1,D,85,D,,A,,A,,A,,A,,A,,A,,A,18,D,120,D
20204,04378723,17,0,1,10,D,1000,D,,A,,A,150,D,,A,,A,,A,,A,500,D,250,D
20204,04381553,55,0,1,2,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04381553,56,0,1,3,D,90,D,,A,,A,30,D,,A,,A,,A,,A,,A,,A
20204,04383044,25,0,1,1,D,,A,,A,,A,,A,,A,,A,,A,,A,18,D,,A
20204,04386893,47,0,1,5,D,,A,,A,,A,,A,,A,,A,,A,,A,80,D,,A
20204,04388163,30,0,1,2,D,300,D,,A,,A,70,D,,A,,A,,A,,A,100,D,,A
20204,04389333,19,0,1,2,D,200,D,,A,,A,,A,,A,,A,,A,,A,20,D,10,D
20204,04390253,42,0,1,1,D,115,D,60,D,60,D,,A,,A,,A,,A,,A,40,D,0,D
20204,04390463,38,0,1,1,D,99,D,,A,,A,,A,,A,,A,,A,,A,,A,25,D
20204,04392393,21,0,1,1,D,102,D,,A,,A,,A,,A,,A,,A,,A,40,D,2,D
20204,04392893,20,0,1,2,D,,A,60,D,,A,,A,,A,,A,,A,,A,240,D,,A
20204,04393573,37,0,1,13,D,300,D,,A,,A,,A,,A,,A,,A,,A,40,D,40,D
20204,04395263,19,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,14,D,,A
20204,04396503,57,0,1,1,D,125,D,20,D,,A,,A,,A,,A,,A,,A,80,D,,A
20204,04397033,32,0,1,2,D,500,D,,A,,A,,A,,A,,A,,A,,A,100,D,,A
20204,04402093,29,0,1,2,D,156,D,,A,,A,,A,,A,,A,,A,,A,60,D,,A
20204,04405613,12,0,1,2,D,285,F,50,D,,A,,A,,A,,A,,A,,A,250,D,50,D
20204,04407134,14,0,1,2,D,326,D,60,D,20,D,,A,,A,,A,,A,,A,160,D,80,D
20204,04411823,24,0,1,2,D,400,D,50,D,,A,,A,,A,,A,,A,,A,150,D,,A
20204,04414643,30,0,1,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04420852,21,0,1,3,D,345,D,,A,,A,,A,,A,,A,,A,,A,150,D,150,D
20204,04421672,29,0,1,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04423472,23,0,1,4,D,400,D,50,D,,A,,A,,A,,A,,A,,A,150,D,,A
20204,04424382,18,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,75,D,,A
20204,04425792,39,0,1,2,D,45,D,,A,,A,,A,,A,,A,,A,,A,45,D,15,D
20204,04429442,19,0,1,2,D,170,D,,A,,A,,A,,A,,A,,A,,A,75,D,,A
