QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,WHATPART,WHAT_ART,TRIPIDBC,TRIP_DBC,NUMSAME,NUMSAME_,EOTRIPMO,EOTR_PMO,NUMNIGHT,NUMN_GHT,FOODDEAL,FOOD_EAL,LODGDEAL,LODG_EAL,TRANDEAL,TRAN_EAL,ELSEDEAL,ELSE_EAL,CMLOCALY,CMLO_ALY,CMPLANEY,CMPL_NEY,CMTRAINY,CMTR_INY,CMBUSY,CMBUSY_,CMSHIPY,CMSHIPY_,RTCARY,RTCARY_,RTMOPEDY,RTMO_EDY,RTBOATY,RTBOATY_,RTCAMPY,RTCAMPY_,RTOTHERY,RTOT_ERY,PVCARY,PVCARY_,PVELSEY,PVELSEY_,PVTRANSY,PVTR_NSY,CMLOCALX,CMLO_ALX,CMPLANEX,CMPL_NEX,CMTRAINX,CMTR_INX,CMBUSX,CMBUSX_,CMSHIPX,CMSHIPX_,RTCARX,RTCARX_,RTMOPEDX,RTMO_EDX,RTBOATX,RTBOATX_,RTCAMPX,RTCAMPX_,RTOTHERX,RTOT_ERX,GASOILX,GASOILX_,TRPTOLLX,TRPT_LLX,PARKINGX,PARK_NGX,LDGCOSTX,LDGC_STX,TRPALCHX,TRPA_CHX,TRPALCGX,TRPA_CGX,TRPSPRTX,TRPS_RTX,TRPETRTX,TRPE_RTX,TRPGFTCX,TRPG_TCX,QTRFLAX,QTRFLAX_,QTRGLAX,QTRGLAX_
20202,04216884,20,0,1,1,D,1,D,1,D,02,D,5,D,1,D,1,D,1,D,2,D,,A,02,D,,A,,A,05,D,06,D,,A,,A,,A,,A,,A,,A,,A,132,G,1293,G,375,G,,A,0,D,0,D,,A,,A,,A,,A,5,D,,A,75,D,1544,G,159,G,,A,,A,,A,,A,497,G,,A
20202,04216964,33,0,1,1,D,3,D,1,D,01,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,15,D,,A,,A,,A,,A,45,D,40,D
20202,04216964,34,0,1,1,D,4,D,1,D,02,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,100,D,,A,,A,,A,,A,20,D,,A,,A,,A,30,D,50,D
20202,04217114,33,0,1,1,D,2,D,1,D,02,D,8,D,1,D,1,D,1,D,1,D,,A,02,D,,A,,A,05,D,,A,,A,,A,,A,,A,13,D,,A,,A,12,G,182,G,2,G,24,G,0,D,,A,,A,,A,,A,,A,,A,,A,53,D,88,G,8,G,,A,33,G,50,G,,A,126,G,,A
20202,04217294,33,0,1,1,D,1,D,1,D,02,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,200,D,,A,,A,,A,200,D,200,D,,A
20202,04217374,29,0,1,1,D,1,D,1,D,02,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217594,21,0,1,1,D,1,D,1,D,03,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,27,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217824,21,0,2,1,D,1,D,1,D,01,D,3,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,13,D,,A,,A,,A,1000,D,,A,,A,,A,300,D,,A,,A,,A,,A,60,D,4,F,,A,550,D,,A,,A,,A,,A,,A,300,D,,A
20202,04218014,52,0,2,1,D,2,D,1,D,01,D,5,D,,A,,A,,A,,A,,A,02,D,,A,,A,,A,06,D,,A,,A,,A,,A,13,D,,A,,A,,A,490,D,,A,,A,,A,170,D,,A,,A,,A,,A,20,D,,A,43,D,,A,,A,,A,,A,160,D,,A,200,D,40,D
20202,04218044,18,0,1,2,D,1,D,1,D,02,D,4,D,1,D,1,D,1,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,13,D,,A,,A,477,G,765,G,,A,,A,,A,,A,,A,,A,,A,,A,20,D,,A,,A,358,G,238,G,,A,,A,,A,20,D,662,G,,A
