QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20203,04312823,24,0,1,410,D,06,D,25,D,,A,,A,,A,,A
20203,04312993,21,0,1,410,D,06,D,7,D,,A,,A,,A,,A
20203,04312993,22,0,1,420,D,06,D,74,D,,A,,A,,A,,A
20203,04313063,30,0,1,410,D,05,D,15,D,,A,,A,,A,,A
20203,04313113,53,0,1,405,D,06,D,432,D,,A,,A,,A,,A
20203,04313143,50,0,1,420,D,05,D,35,D,,A,,A,,A,,A
20203,04313153,17,0,1,410,D,06,D,25,D,,A,,A,,A,,A
20203,04313153,18,0,1,420,D,06,D,79,D,,A,,A,,A,,A
20203,04313273,46,0,1,400,D,04,D,55,F,,A,,A,,A,,A
20203,04313583,34,0,1,420,D,05,D,550,D,,A,,A,,A,,A
20203,04313773,82,0,1,420,D,06,D,206,D,,A,,A,,A,,A
20203,04313833,34,0,1,420,D,06,D,285,D,,A,,A,,A,,A
20203,04314003,72,0,1,420,D,04,D,208,D,,A,,A,,A,,A
20203,04314173,20,0,1,420,D,04,D,40,D,,A,,A,,A,,A
20203,04314173,21,0,1,420,D,05,D,40,D,,A,,A,,A,,A
20203,04314433,66,0,1,420,D,06,D,320,D,,A,,A,,A,,A
20203,04314443,21,0,1,430,D,06,D,,H,410,D,415,D,,A,,A
20203,04314443,21,1,1,410,D,06,D,8,E,,A,,A,,A,,A
20203,04314443,21,2,1,420,D,06,D,85,E,,A,,A,,A,,A
20203,04314473,22,0,1,420,D,05,D,125,D,,A,,A,,A,,A
20203,04314613,35,0,1,410,D,04,D,14,D,,A,,A,,A,,A
20203,04314663,23,0,1,420,D,05,D,129,D,,A,,A,,A,,A
20203,04314663,24,0,1,400,D,04,D,37,D,,A,,A,,A,,A
20203,04314763,43,0,1,400,D,06,D,35,F,,A,,A,,A,,A
20203,04314763,44,0,2,420,D,04,D,365,D,,A,,A,,A,,A
20203,04315023,61,0,1,410,D,06,D,19,D,,A,,A,,A,,A
20203,04315023,62,0,1,410,D,06,D,19,D,,A,,A,,A,,A
20203,04315023,63,0,1,420,D,06,D,231,D,,A,,A,,A,,A
20203,04315023,64,0,1,420,D,06,D,132,D,,A,,A,,A,,A
20203,04315204,22,0,1,400,D,06,D,35,D,,A,,A,,A,,A
20203,04315253,88,0,2,420,D,04,D,103,D,,A,,A,,A,,A
20203,04315253,89,0,2,420,D,04,D,39,D,,A,,A,,A,,A
20203,04315423,47,0,1,420,D,06,D,40,D,,A,,A,,A,,A
20203,04315553,37,0,1,420,D,06,D,650,D,,A,,A,,A,,A
20203,04315563,26,0,1,410,D,06,D,37,D,,A,,A,,A,,A
20203,04315593,41,0,1,430,D,06,D,,H,405,D,410,D,,A,,A
20203,04315593,41,1,1,405,D,06,D,59,E,,A,,A,,A,,A
20203,04315593,41,2,1,410,D,06,D,6,E,,A,,A,,A,,A
20203,04315673,13,0,1,420,D,04,D,65,D,,A,,A,,A,,A
20203,04315713,49,0,1,430,D,06,D,,H,425,D,405,D,415,D,,A
20203,04315713,49,1,1,420,D,06,E,231,E,,A,,A,,A,,A
20203,04315713,49,2,1,405,D,06,E,584,E,,A,,A,,A,,A
20203,04315713,49,3,1,420,D,06,E,265,E,,A,,A,,A,,A
20203,04315763,32,0,1,420,D,04,D,448,D,,A,,A,,A,,A
20203,04315903,28,0,1,420,D,06,D,200,D,,A,,A,,A,,A
20203,04315923,16,0,1,420,D,05,D,345,D,,A,,A,,A,,A
20203,04315923,17,0,1,410,D,05,D,20,D,,A,,A,,A,,A
20203,04315973,51,0,1,430,D,06,D,,H,405,D,415,D,,A,,A
20203,04315973,51,1,1,420,D,06,D,260,E,,A,,A,,A,,A
20203,04316063,34,0,1,410,D,04,D,89,D,,A,,A,,A,,A
20203,04316093,49,0,1,410,D,05,D,35,D,,A,,A,,A,,A
20203,04316093,50,0,1,420,D,05,D,144,D,,A,,A,,A,,A
20203,04316103,36,0,1,420,D,06,D,250,D,,A,,A,,A,,A
20203,04316143,24,0,1,420,D,04,D,60,D,,A,,A,,A,,A
20203,04316323,25,0,1,420,D,05,D,200,D,,A,,A,,A,,A
20203,04316383,42,0,2,420,D,04,D,130,D,,A,,A,,A,,A
20203,04316443,43,0,1,420,D,06,D,75,D,,A,,A,,A,,A
20203,04316493,60,0,1,420,D,05,D,176,D,,A,,A,,A,,A
20203,04316663,27,0,1,420,D,04,D,400,D,,A,,A,,A,,A
20203,04316883,26,0,1,420,D,05,D,309,D,,A,,A,,A,,A
20203,04317053,40,0,1,410,D,06,D,50,D,,A,,A,,A,,A
20203,04317563,36,0,1,420,D,04,D,120,D,,A,,A,,A,,A
20203,04317623,34,0,1,400,D,06,D,87,D,,A,,A,,A,,A
20203,04317684,43,0,1,420,D,04,D,15,D,,A,,A,,A,,A
