QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX,CHCKEFT,CHCKEFT_,REBTUSED,REBT_SED
20203,04279164,14,0,1,160,D,06,D,100,D,,A,,A
20203,04279204,3,0,1,110,D,13,D,607,F,,A,,A
20203,04279204,4,0,1,800,D,05,D,2400,D,2,D,2,D
20203,04279224,2,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04279224,3,0,2,170,D,05,D,100,D,,A,,A
20203,04279244,4,0,1,150,D,13,D,200,D,,A,,A
20203,04279244,5,0,1,160,D,06,D,300,D,,A,,A
20203,04279244,6,0,1,800,D,05,D,4200,D,2,D,3,D
20203,04279254,2,0,1,150,D,07,D,200,D,,A,,A
20203,04279254,3,0,1,800,D,07,D,1200,D,,C,1,D
20203,04279254,4,0,1,800,D,06,D,1200,D,1,D,2,D
20203,04279264,7,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04279264,8,0,1,800,D,06,D,1200,D,2,D,2,D
20203,04279294,1,0,1,800,D,05,D,1200,D,1,D,2,D
20203,04279394,16,0,1,160,D,13,D,50,D,,A,,A
20203,04279394,17,0,1,800,D,06,D,2946,D,2,D,1,D
20203,04279404,3,0,1,170,D,07,D,50,D,,A,,A
20203,04279404,4,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04279454,2,0,1,150,D,13,D,400,D,,A,,A
20203,04279454,3,0,1,800,D,06,D,2900,D,1,D,2,D
20203,04279514,2,0,1,150,D,05,D,50,D,,A,,A
20203,04279514,3,0,1,150,D,06,D,40,D,,A,,A
20203,04279514,4,0,1,150,D,07,D,90,D,,A,,A
20203,04279514,5,0,1,800,D,05,D,2400,D,2,D,2,D
20203,04279574,9,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04279594,2,0,1,160,D,13,D,10,D,,A,,A
20203,04279594,3,0,1,160,D,13,D,10,D,,A,,A
20203,04279594,4,0,1,800,D,05,D,1200,D,2,D,3,D
20203,04279604,8,0,1,160,D,05,D,100,D,,A,,A
20203,04279604,9,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04279634,6,0,1,170,D,06,D,291,F,,A,,A
20203,04279634,7,0,1,170,D,05,D,291,F,,A,,A
20203,04279634,8,0,1,170,D,07,D,291,F,,A,,A
20203,04279634,9,0,1,150,D,13,D,400,D,,A,,A
20203,04279634,10,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04279644,1,0,1,160,D,13,D,13,D,,A,,A
20203,04279644,2,0,1,800,D,05,D,1200,D,1,D,3,D
20203,04279684,2,0,1,150,D,13,D,600,D,,A,,A
20203,04279684,3,0,1,800,D,05,D,2400,D,2,D,1,D
20203,04279694,9,0,1,170,D,07,D,200,D,,A,,A
20203,04279694,10,0,1,110,D,13,D,1000,D,,A,,A
20203,04279694,11,0,1,140,D,13,D,105,D,,A,,A
20203,04279694,12,0,1,160,D,13,D,75,D,,A,,A
20203,04279704,2,0,1,800,D,07,D,1710,F,2,D,1,D
20203,04279724,1,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04279794,2,0,1,170,D,05,D,100,D,,A,,A
20203,04279794,3,0,1,170,D,06,D,100,D,,A,,A
20203,04279794,4,0,1,170,D,07,D,300,D,,A,,A
20203,04279794,5,0,1,150,D,13,D,500,D,,A,,A
20203,04279794,6,0,1,160,D,13,D,150,D,,A,,A
20203,04279794,7,0,1,800,D,05,D,1900,D,3,D,1,D
20203,04279854,1,0,1,800,D,07,D,2400,D,2,D,1,D
20203,04279864,5,0,1,170,D,13,D,500,D,,A,,A
20203,04279984,1,0,1,150,D,13,D,55,D,,A,,A
20203,04279984,2,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04280004,4,0,1,800,D,06,D,1908,F,,C,1,D
20203,04280064,3,0,1,800,D,06,D,6000,D,1,D,1,D
20203,04280094,3,0,1,140,D,05,D,400,D,,A,,A
20203,04280094,4,0,1,800,D,06,D,2400,D,2,D,2,D
20203,04280104,20,0,1,150,D,13,D,220,D,,A,,A
20203,04280124,7,0,1,160,D,05,D,15,D,,A,,A
20203,04280124,8,0,1,160,D,06,D,10,D,,A,,A
20203,04280124,9,0,1,160,D,06,D,10,D,,A,,A
20203,04280124,10,0,1,150,D,13,D,65,D,,A,,A
20203,04280124,11,0,1,800,D,05,D,4800,D,2,D,1,D
20203,04280154,2,0,1,170,D,06,D,125,D,,A,,A
20203,04280204,3,0,1,170,D,13,D,150,D,,A,,A
20203,04280204,4,0,1,800,D,05,D,1200,D,1,D,1,D
20203,04280214,2,0,1,800,D,05,D,2200,D,2,D,2,D
20203,04280214,3,0,1,800,D,05,D,1200,D,2,D,2,D
20203,04280224,1,0,1,800,D,05,D,1200,D,2,D,3,D
20203,04280274,2,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04280274,800,0,1,800,D,05,D,1200,D,2,D,1,D
20203,04280294,2,0,1,800,D,05,D,2400,D,2,D,2,D
20203,04280384,5,0,1,160,D,07,D,30,D,,A,,A
20203,04280384,6,0,1,800,D,05,D,2400,D,1,D,2,D
20203,04280414,1,0,1,110,D,13,D,500,D,,A,,A
20203,04280414,2,0,1,800,D,05,D,1200,D,1,D,3,D
20203,04280424,1,0,1,800,D,05,D,2400,D,1,D,1,D
20203,04280424,2,0,1,800,D,05,D,600,D,2,D,1,D
20203,04280434,4,0,1,800,D,05,D,3400,D,,C,1,D
20203,04280444,6,0,1,130,D,05,D,25,D,,A,,A
20203,04280444,7,0,1,800,D,05,D,3400,D,2,D,1,D
20203,04280454,1,0,1,160,D,07,D,30,D,,A,,A
