QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20211,04617401,8,0,1,01,D,100,D,,A,1,D,04,D,2020,D,,A,,A,,A,1900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617411,5,0,1,01,D,100,D,,A,3,D,12,F,1995,D,,A,,A,,A,6500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617471,3,0,1,01,D,100,D,,A,3,D,12,F,2008,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617531,12,0,1,01,D,100,D,,A,1,D,,B,2013,D,,A,,A,,A,3600,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617561,14,0,1,01,D,100,D,,A,1,D,,B,2005,D,,A,,A,,A,4000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617571,27,0,1,01,D,100,D,,A,3,D,08,D,2020,D,,A,,A,,A,2800,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617621,17,0,1,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,2000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617671,27,0,1,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617731,4,0,1,01,D,100,D,,A,3,D,,B,2018,D,,A,,A,,A,1400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617741,5,0,1,01,D,100,D,,A,3,D,12,F,2015,D,,A,,A,,A,3400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617751,11,0,1,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,40,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20211,04617751,12,0,1,02,D,400,D,,A,3,D,,B,2010,D,,A,,A,,A,40,D,,A,,A,,A,,A,1,D,1,D,,A,,A,,A
20211,04617813,10,0,1,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617911,13,0,1,01,D,100,D,,A,3,D,,B,2011,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617931,12,0,1,01,D,100,D,,A,3,D,11,F,1988,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04617963,8,0,1,01,D,100,D,,A,3,D,07,D,2020,D,,A,,A,,A,12000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618021,10,0,1,01,D,100,D,,A,3,D,,B,1986,D,,A,,A,,A,500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618091,6,0,1,01,D,100,D,,A,3,D,,B,1979,D,,A,,A,,A,6400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618101,31,0,1,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618101,32,0,1,02,D,300,D,,A,1,D,,B,2010,D,,A,,A,,A,500,D,1,D,1,D,2,D,,A,,A,,A,,A,,A,1,D
20211,04618101,33,0,1,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04618111,10,0,1,01,D,100,D,,A,3,D,,B,2008,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618171,11,0,1,01,D,100,D,,A,3,D,08,D,2020,D,,A,,A,,A,2200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618171,12,0,1,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04618201,12,0,1,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,0,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618281,58,0,1,01,D,100,D,,A,3,D,12,F,1991,D,,A,,A,,A,5200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618301,18,0,1,01,D,100,D,,A,3,D,10,F,2007,D,,A,,A,,A,5700,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618361,9,0,1,01,D,100,D,,A,3,D,,B,2005,D,,A,,A,,A,19981,T,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618371,14,0,1,01,D,100,D,,A,3,D,,B,2009,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618401,26,0,1,01,D,100,D,,A,3,D,,B,1980,D,,A,,A,,A,6100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618401,27,0,1,02,D,300,D,,A,1,D,,B,1988,D,,A,,A,,A,370,F,1,D,4,D,2,D,,A,,A,,A,,A,,A,1,D
20211,04618401,28,0,1,03,D,300,D,,A,1,D,,B,2017,D,,A,,A,,A,20,D,1,D,3,D,2,D,,A,,A,,A,,A,,A,1,D
20211,04618472,39,0,1,01,D,100,D,,A,3,D,11,F,2012,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618472,40,0,1,02,D,200,D,,A,3,D,,B,1995,D,,A,,A,,A,2700,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04618472,41,0,1,03,D,300,D,,A,1,D,,B,1996,D,,A,,A,,A,30,D,2,D,,A,,A,,A,1,D,0,D,,A,,A,,A
20211,04618491,13,0,1,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,2100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618501,8,0,1,01,D,100,D,,A,3,D,,B,2000,D,,A,,A,,A,550,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618551,15,0,1,01,D,100,D,0.60,D,3,D,,B,2005,D,,A,,A,,A,3200,D,,A,,A,,A,,A,1,D,,C,,A,,A,,A
20211,04618602,23,0,1,01,D,100,D,,A,3,D,,B,2013,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,1,D,,A
20211,04618631,13,0,1,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,2400,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618741,23,0,1,01,D,300,D,0.25,D,1,D,,B,1982,D,,A,,A,,A,220,D,1,D,2,D,2,D,,A,,A,,A,,A,,A,1,D
20211,04618751,7,0,1,01,D,100,D,,A,3,D,12,F,2000,D,,A,,A,,A,1500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618791,39,0,1,01,D,100,D,,A,3,D,11,F,2014,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20211,04618791,40,0,1,02,D,300,D,,A,3,D,,B,1989,D,,A,,A,,A,3000,D,2,D,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04618791,41,0,1,03,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04618791,42,0,1,04,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20211,04618791,43,0,1,05,D,400,D,,A,3,D,12,F,2004,D,,A,,A,,A,2600,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20211,04618861,9,0,1,01,D,100,D,,A,3,D,11,F,1989,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
