QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20202,04312142,16,0,1,620,D,1,D,13,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312212,6,0,1,110,D,1,D,01,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312242,15,0,2,410,D,1,D,01,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04312252,20,0,1,410,D,1,D,01,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04312252,21,0,1,410,D,1,D,02,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04312252,22,0,1,410,D,1,D,03,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20202,04312252,23,0,1,510,D,1,D,01,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312252,24,0,1,510,D,1,D,03,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312262,12,0,1,330,D,1,D,01,D,475,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312262,13,0,1,420,D,1,D,02,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312262,14,0,1,620,D,1,D,13,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312262,15,0,1,510,D,1,D,02,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312272,8,0,1,620,D,1,D,13,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312282,11,0,1,530,D,1,D,03,D,11153,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312302,6,0,1,620,D,1,D,02,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312312,24,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312322,16,0,1,620,D,1,D,13,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312342,40,0,2,110,D,1,D,01,D,115,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312384,17,0,1,330,D,1,D,02,D,147,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312502,16,0,1,900,D,1,D,02,D,,H,900,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312502,16,1,1,200,D,1,D,02,D,69,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312502,16,2,1,420,D,1,D,02,D,17,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312502,16,3,1,620,D,1,D,02,D,14,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312522,11,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04312682,29,0,1,410,D,1,D,02,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
