QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_
20202,04215984,31,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,45,D,45,D,45,D,,A,1,D
20202,04215984,32,0,1,,A,,A,,A,1,D,1,D,,A,36,E,36,E,35,E,59,E,59,E,60,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04215994,13,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,250,D,250,D,250,D,,A,1,D
20202,04215994,14,0,1,,A,,A,,A,1,D,2,D,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216014,16,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,130,D,130,D,130,D,,A,1,D
20202,04216014,17,0,1,,A,,A,,A,1,D,1,D,,A,45,E,54,E,54,E,75,E,66,E,66,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04216064,23,0,1,,A,1,D,,A,1,D,2,D,,A,53,E,53,E,53,E,,A,,A,,A,53,E,53,E,53,E,,A,,A,,A,2,D,1,D
20202,04216074,27,0,1,,A,,A,2,D,1,D,1,D,,A,78,E,78,E,78,E,111,E,111,E,111,E,,A,,A,,A,111,E,111,E,111,E,2,D,1,D
20202,04216084,14,0,1,,A,,A,,A,1,D,1,D,,A,100,E,100,E,100,E,142,E,142,E,142,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04216084,15,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,89,D,89,D,89,D,,A,1,D
20202,04216094,27,0,1,,A,1,D,,A,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,199,D,199,D,199,D,,A,,A,,A,,A,1,D
20202,04216094,28,0,1,,A,,A,,A,1,D,1,D,,A,64,E,64,E,67,E,99,E,99,E,96,E,,A,,A,,A,,A,,A,,A,2,D,2,D
20202,04216104,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,280,D,280,D,280,D,,A,1,D
20202,04216104,30,0,1,,A,,A,,A,1,D,2,D,,A,120,D,120,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216114,32,0,1,,A,,A,,A,1,D,1,D,,A,75,E,75,E,72,E,102,E,102,E,105,E,,A,,A,,A,,A,,A,,A,1,D,2,D
20202,04216164,7,0,1,,A,,A,2,D,1,D,2,D,,A,55,E,55,E,55,E,,A,,A,,A,,A,,A,,A,55,E,55,E,55,E,2,D,1,D
20202,04216174,26,0,1,,A,,A,,A,1,D,2,D,,A,24,D,24,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
20202,04216174,27,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,70,D,70,D,70,D,,A,1,D
20202,04216194,35,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,65,D,65,D,65,D,,A,1,D
20202,04216194,36,0,1,,A,,A,,A,1,D,2,D,,A,60,D,60,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D
