QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,SAMP_UN,SAMP_UN_,RTELECT,RTELECT_,RTGAS,RTGAS_,RTWATER,RTWATER_,RTHEAT,RTHEAT_,RTTRASH,RTTRASH_,RTASPAY,RTASPAY_,RTCOMPX,RTCOMPX_,RTBSNSZ,RTBSNSZ_,JRTPAYQV,JRTP_YQV,QRT3MCMX,RTTELEPH,QRT3_CMX,RTTE_EPH,RTTVCABL,RTTV_ABL,RTINTRNT,RTIN_RNT,RTFUNSH,RTFUNSH_,GOVTCOST,GOVT_OST,INCLBDS,INCLBDS_,INCLDRYR,INCL_RYR,INCLFRIG,INCL_RIG,INCLPDS,INCLPDS_,INCLSTOV,INCL_TOV,INCLWSHR,INCL_SHR,PUBLHOUS,PUBL_OUS,OWNED,OWNED_,RTPARK,RTPARK_
20202,04218124,12,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,1650,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04218304,7,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,1800,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20202,04218574,8,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1650,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04218584,7,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,4800,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D
20202,04218634,17,0,1,1,D,2,D,2,D,2,D,2,D,1,D,2,D,,A,,A,,A,8334,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04218654,15,0,1,2,D,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,,A,A,,A,,A,,A,2,D,,C,,C,,C,,C,,C,,C,2,D,,A,,A
20202,04218904,31,0,1,1,D,1,D,2,D,1,D,1,D,1,D,1,D,800,D,,A,1560,D,840,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20202,04218934,30,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,4380,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04218944,18,0,1,1,D,2,D,2,D,2,D,1,D,2,D,2,D,,A,,A,,A,1800,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04218974,14,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,4935,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04219114,32,0,1,1,D,2,D,2,D,2,D,2,D,1,D,2,D,,A,,A,,A,3930,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04219254,9,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1425,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04219294,13,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,2400,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04219574,8,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,1296,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D
20202,04219864,17,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2130,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04219974,15,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2190,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20202,04220164,9,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,0,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,1,D,1,D,2,D,2,D,2,D,2,D
20202,04220174,5,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,990,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D
20202,04220184,10,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2130,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04220294,5,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3000,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04220314,16,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,3000,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04220344,7,0,1,1,D,1,D,1,D,1,D,1,D,2,D,2,D,,A,,A,,A,3600,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20202,04220364,5,0,1,1,D,1,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2052,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20202,04220384,12,0,1,1,D,1,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,12475,2,T,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,2,D,2,D,1,D
20202,04220394,10,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,4800,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04220474,4,0,1,1,D,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,,A,A,,A,,A,,A,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,,A
20202,04220804,7,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,1209,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20202,04220844,29,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,2250,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04220884,43,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,3780,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04221004,29,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,450,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D
20202,04221054,25,0,1,1,D,2,D,2,D,2,D,2,D,1,D,2,D,,A,,A,,A,6675,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04221074,32,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2480,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04221094,31,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3585,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04221174,13,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2250,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04221194,23,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1800,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04221324,17,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,4050,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04221454,10,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,5100,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04221674,14,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,2508,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04221684,20,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,2250,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04221764,16,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3000,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04221794,6,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,1530,2,D,D,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,2,D,2,D,2,D
20202,04221854,11,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,1455,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
20202,04222054,10,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,3900,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,2,D,1,D,2,D,2,D,2,D
20202,04222064,11,0,1,1,D,2,D,2,D,2,D,2,D,1,D,2,D,,A,,A,,A,1650,2,D,D,2,D,2,D,2,D,1,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04222184,11,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,1500,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,2,D,2,D,2,D
20202,04222314,17,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,2685,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04222364,25,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,423,2,D,D,2,D,2,D,2,D,,A,1,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20202,04222414,3,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,1425,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20202,04222444,10,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,900,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20202,04222634,9,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,6000,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04222744,15,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,4600,2,D,D,2,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20202,04222834,14,0,1,1,D,,A,,A,,A,,A,,A,2,D,,A,,A,,A,,,A,A,,A,,A,,A,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,,A
20202,04223004,9,0,1,1,D,2,D,2,D,1,D,1,D,1,D,2,D,,A,,A,,A,2250,1,D,D,1,D,2,D,2,D,2,D,2,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
