QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_
20202,04215724,21,0,1,380,D,13,D,2,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215764,16,0,1,170,D,02,D,1,D,420,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215764,17,0,1,160,D,03,D,1,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215794,13,0,1,370,D,13,D,1,D,55,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215794,14,0,1,260,D,02,D,1,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215824,8,0,1,260,D,03,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215874,17,0,1,140,D,01,D,1,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215884,18,0,1,160,D,03,D,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215904,11,0,1,160,D,02,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215914,16,0,1,140,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215914,17,0,1,170,D,13,D,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215914,18,0,2,260,D,01,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215964,7,0,1,160,D,02,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215974,11,0,1,240,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215984,16,0,1,160,D,02,D,1,D,189,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04215994,7,0,1,380,D,13,D,1,D,91,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216064,11,0,1,160,D,02,D,1,D,320,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216074,12,0,1,240,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216094,17,0,1,380,D,01,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216104,14,0,1,160,D,02,D,1,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,21,0,1,140,D,02,D,2,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,22,0,1,370,D,13,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216114,23,0,1,260,D,01,D,1,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216174,12,0,1,260,D,02,D,1,D,191,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216174,13,0,2,260,D,01,D,1,D,151,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,20,0,1,180,D,13,D,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216194,21,0,1,250,D,02,D,1,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04216204,18,0,1,140,D,03,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
