QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20211,04410664,25,0,5,01,D,100,D,.0800,F,30000,F,15,F,300,F,,B,,B,,B,,B,13,F,94,F,94,F,95,F,193,F,193,F,192,F,,A,01,F,2020,F,1,F,,A,29010,F,28917,F,28823,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04411274,33,0,5,01,D,100,D,.0529,F,155000,F,15,F,1397,F,3,F,,A,,A,,A,148,F,648,F,651,F,654,F,601,F,598,F,595,F,,A,04,F,2018,F,1,F,,A,136252,F,135604,F,134953,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04411414,38,0,5,01,D,100,D,.0472,D,141701,D,15,D,1100,D,,A,,A,,A,,A,0,D,,A,543,D,545,D,,A,557,D,555,D,,A,01,D,2021,D,1,D,,A,,A,141701,D,141158,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04411694,21,0,5,01,D,100,D,.0472,F,100000,F,1,F,6313,V,,C,,C,,C,,C,0,F,2024,V,2032,V,2275,V,361,F,329,F,297,F,,A,09,F,2020,F,1,F,,A,91845,F,83659,F,75440,F,01,D,,A,,A,3,D,,A,,A,,A,,C,,A
20211,04415944,25,0,5,01,D,100,D,.0482,F,13214,F,10,F,139,F,,A,,A,,A,,A,0,F,92,F,92,F,92,F,47,F,47,F,47,F,,A,06,F,2019,F,1,F,,A,11797,F,11705,F,11613,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04415964,9,0,5,01,D,100,D,.0475,D,19000,D,10,D,199,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,0,D,0,D,0,D,,A,02,D,2017,D,2,D,,A,12757,D,12608,D,12459,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20211,04419444,26,0,5,01,D,100,D,.0400,D,60000,D,15,D,500,D,,B,,B,,B,,B,56,D,252,D,253,D,254,D,192,D,191,D,190,D,,A,02,D,2020,D,1,D,,A,57523,D,57271,D,57018,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04422433,17,0,5,01,D,100,D,.0662,D,75000,D,20,D,564,D,,A,,A,,A,,A,0,D,176,D,177,D,178,D,59,D,58,D,57,D,,A,03,D,2005,D,2,D,,A,25880,D,25458,D,25034,D,01,D,1,D,,A,,A,220,D,227,D,235,D,1,D,2,D
20211,04423093,29,0,5,01,D,100,D,.0475,D,30000,D,15,D,397,D,,B,,B,,B,,B,164,D,204,D,205,D,206,D,29,D,28,D,27,D,,A,07,D,2008,D,1,D,,A,7275,D,7071,D,6866,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04423953,13,0,1,01,D,100,D,.0800,D,21265,D,10,D,258,D,,A,,A,,A,,A,0,D,152,D,153,D,154,D,106,D,105,D,104,D,,A,06,D,2017,D,1,D,,A,15957,D,15805,D,15653,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04429793,36,0,5,01,D,100,D,.0492,D,110000,D,19,D,750,D,,B,,B,,B,,B,6,D,405,D,406,D,408,D,339,D,338,D,336,D,,A,03,D,2014,D,1,D,,A,82730,D,82325,D,81919,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04429793,37,0,5,01,D,100,D,.0460,D,97388,D,15,D,750,D,,A,,A,,A,,A,0,D,470,D,472,D,474,D,280,D,278,D,276,D,,A,12,D,2015,D,1,D,,A,72974,D,72503,D,72031,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04429803,28,0,5,01,D,100,D,.0529,F,155000,F,15,F,1397,F,3,F,,A,,A,,A,148,F,648,F,651,F,654,F,601,F,598,F,595,F,,A,04,F,2018,F,1,F,,A,136252,F,135604,F,134953,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04429843,32,0,5,01,D,100,D,.0472,D,25000,D,5,D,469,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,469,D,469,D,469,D,,A,10,D,2020,D,1,D,,A,25000,D,25000,D,25000,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20211,04430023,25,0,5,01,D,100,D,.0472,D,100000,D,1,D,6313,T,,C,,C,,C,,C,0,D,2024,T,2032,T,2275,T,361,D,329,D,297,D,,A,09,D,2020,D,1,D,,A,91845,D,83659,D,75440,D,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20211,04430923,17,0,5,01,D,100,D,.0400,D,30000,D,15,D,358,D,,B,,B,,B,,B,136,D,155,D,156,D,156,D,67,D,66,D,66,D,,A,10,D,2014,D,1,D,,A,20091,D,19936,D,19780,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04469513,21,0,5,01,D,100,D,.0569,D,60000,D,20,D,419,D,,A,,A,,A,,A,0,D,149,D,150,D,151,D,270,D,269,D,268,D,,A,01,D,2019,D,1,D,,A,56889,D,56740,D,56590,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04470193,30,0,5,01,D,100,D,.0400,F,50000,F,10,F,527,F,,B,,B,,B,,B,21,F,352,F,353,F,354,F,154,F,153,F,152,F,,A,01,F,2020,F,1,F,,A,46204,F,45853,F,45499,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04470743,27,0,5,01,D,100,D,.0529,D,99000,D,15,D,798,D,,A,,A,,A,,A,0,D,490,D,492,D,494,D,475,D,473,D,471,D,,A,09,D,2018,D,2,D,,A,89064,D,88659,D,88252,D,01,D,1,D,,A,,A,1440,T,1440,T,1492,T,1,D,2,D
20211,04471413,35,0,5,01,D,100,D,.0460,D,120000,D,10,D,1249,D,,A,,A,,A,,A,0,D,2024,T,2032,T,2275,T,299,D,294,D,289,D,,A,09,D,2015,D,2,D,,A,64867,D,63866,D,62861,D,01,D,1,D,,A,,A,1440,T,1440,T,1492,T,1,D,2,D
20211,04472163,32,0,5,01,D,100,D,.0472,D,23000,D,15,D,1000,D,,B,,B,,B,,B,821,D,0,D,0,D,0,D,179,D,179,D,179,D,,A,01,D,2021,D,1,D,,A,23000,D,23000,D,23000,D,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20211,04504563,24,0,5,01,D,100,D,.0709,F,100000,F,15,F,904,F,,A,,A,,A,,A,0,F,605,F,609,F,612,F,64,F,60,F,57,F,,A,05,F,2007,F,2,F,,A,14578,F,13761,F,12938,F,01,D,,A,,A,,A,719,F,694,F,669,F,1,D,2,D
20211,04505003,49,0,5,01,D,100,D,.0472,D,10000,D,3,D,298,D,,A,,A,,A,,A,0,D,280,D,281,D,282,D,18,D,17,D,16,D,,A,04,D,2019,D,1,D,,A,4629,D,4349,D,4068,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04505003,50,0,5,01,D,100,D,.0472,D,9000,D,15,D,70,D,,A,,A,,A,,A,0,D,187,D,188,D,189,D,163,D,162,D,161,D,,A,03,D,2019,D,2,D,,A,8247,D,8210,D,8172,D,01,D,1,D,,A,,A,50,D,400,D,350,D,1,D,2,D
20211,04506513,20,0,5,01,D,100,D,.0800,D,30000,D,15,D,300,D,,B,,B,,B,,B,13,D,94,D,94,D,95,D,193,D,193,D,192,D,,A,01,D,2020,D,1,D,,A,29010,D,28917,D,28823,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04507033,26,0,5,01,D,100,D,.0460,D,21000,D,15,D,162,D,,A,,A,,A,,A,0,D,127,D,127,D,128,D,73,D,73,D,72,D,,A,11,D,2015,D,2,D,,A,15430,D,15328,D,15225,D,01,D,1,D,,A,,A,200,D,200,D,200,D,1,D,2,D
20211,04507413,21,0,5,01,D,100,D,.0472,F,100000,F,1,F,6313,V,,C,,C,,C,,C,0,F,2024,V,2032,V,2275,V,361,F,329,F,297,F,,A,09,F,2020,F,1,F,,A,91845,F,83659,F,75440,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20211,04509263,23,0,5,01,D,100,D,.0709,D,100000,D,15,D,904,D,,A,,A,,A,,A,0,D,605,D,609,D,612,D,64,D,60,D,57,D,,A,05,D,2007,D,2,D,,A,14578,D,13761,D,12938,D,01,D,1,D,,A,,A,719,D,694,D,669,D,1,D,2,D
20211,04510843,16,0,5,01,D,100,D,.0475,D,50000,D,15,D,389,D,,A,,A,,A,,A,0,D,266,D,267,D,268,D,123,D,122,D,121,D,,A,12,D,2013,D,1,D,122020,D,31003,D,30736,D,30469,D,01,D,,A,,A,,A,133,D,133,D,133,D,1,D,2,D
20211,04512033,33,0,5,01,D,100,D,.0400,D,30000,D,10,D,304,D,,A,,A,,A,,A,0,D,195,D,195,D,196,D,55,D,55,D,54,D,,A,03,D,2017,D,2,D,,A,20126,D,19890,D,19652,D,01,D,1,D,,A,,A,250,D,250,D,250,D,1,D,2,D
20211,04513743,17,0,5,01,D,100,D,.0400,D,42000,D,10,D,425,D,,A,,A,,A,,A,0,D,0,D,0,D,0,D,0,D,0,D,0,D,,A,03,D,2020,D,2,D,,A,39398,D,39105,D,38810,D,01,D,1,D,,A,,A,0,D,0,D,0,D,1,D,2,D
20211,04514163,26,0,1,01,D,100,D,.0499,F,140000,F,15,F,1106,F,,A,,A,,A,,A,0,F,0,F,0,F,0,F,1106,F,1106,F,1106,F,,A,03,F,2015,F,1,F,,A,140000,F,140000,F,140000,F,01,D,,A,,A,,A,,A,,A,,A,,A,2,D
20211,04514273,16,0,5,01,D,100,D,.0400,D,117600,D,15,D,887,D,,B,,B,,B,,B,17,D,542,D,544,D,546,D,328,D,326,D,324,D,,A,10,D,2017,D,1,D,,A,98270,D,97727,D,97183,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04551332,25,0,5,01,D,100,D,.0400,F,52000,F,10,F,526,F,,A,,A,,A,,A,0,F,362,F,363,F,365,F,164,F,163,F,161,F,,A,04,F,2020,F,1,F,,A,49146,F,48783,F,48420,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04553742,17,0,5,01,D,100,D,.0529,F,155000,F,15,F,1397,F,3,F,,A,,A,,A,148,F,648,F,651,F,654,F,601,F,598,F,595,F,,A,04,F,2018,F,1,F,,A,136252,F,135604,F,134953,F,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04557782,24,0,5,01,D,100,D,.0600,D,9652,D,7,D,141,D,,A,,A,,A,,A,0,D,107,D,107,D,108,D,34,D,34,D,33,D,,A,07,D,2018,D,1,D,,A,6872,D,6766,D,6658,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04558822,13,0,5,01,D,100,D,.0472,F,52000,F,5,D,,A,,A,,A,,A,,A,0,F,770,F,773,F,776,F,205,F,202,F,198,F,,A,12,F,2020,D,2,D,,A,51230,F,50457,F,49681,F,01,D,1,D,,A,,A,1440,V,1440,V,1492,V,,C,,A
20211,04563312,18,0,5,01,D,100,D,.0635,F,87000,F,20,F,641,F,3,F,4,F,5,F,,A,0,F,231,F,233,F,234,F,410,F,408,F,407,F,,A,01,F,2017,F,1,F,,A,77390,F,77159,F,76926,F,01,D,1,D,,A,,A,,A,,A,,A,1,D,2,D
20211,04570932,60,0,5,01,D,100,D,.0402,D,60000,D,4,D,1800,D,3,D,4,D,,A,,A,445,D,2024,T,2032,T,2275,T,178,D,174,D,170,D,,A,06,D,2020,D,1,D,,A,53018,D,51840,D,50659,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20211,04571362,38,0,5,01,D,100,D,.0472,D,331395,T,11,D,6313,T,,A,,A,,A,,A,0,D,453,D,455,D,456,D,247,D,245,D,244,D,,A,03,D,2019,D,2,D,,A,240725,T,239352,T,237974,T,01,D,,A,2,D,,A,1440,T,1440,T,700,D,1,D,2,D
20211,04571452,27,0,5,01,D,100,D,.0440,D,74769,D,20,D,469,D,,A,,A,,A,,A,0,D,234,D,235,D,236,D,235,D,234,D,233,D,,A,10,D,2016,D,1,D,,A,64098,D,63864,D,63629,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
