QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20204,04431562,1,0,2,120,D,1,D,07,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04431712,1,0,1,120,D,1,D,09,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04462212,1,0,1,120,D,1,D,10,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04462942,1,0,1,160,D,1,D,08,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04463132,1,0,1,195,D,1,D,10,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04463132,2,0,1,100,D,1,D,09,D,900,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04463302,1,0,1,140,D,1,D,10,D,751,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04464332,1,0,1,140,D,1,D,09,D,1100,D,,A,45,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04464922,1,0,1,140,D,1,D,08,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465352,1,0,1,220,D,1,D,09,D,,H,,A,,A,100,D,210,D,140,D,160,D,180,D,195,D,220,D,120,D,,A
20204,04465352,1,1,1,100,D,1,D,09,D,614,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465352,1,2,1,120,D,1,D,09,D,38,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465352,1,3,1,140,D,1,D,09,D,368,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465352,1,4,1,160,D,1,D,09,D,307,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465352,1,5,1,170,D,1,D,09,D,92,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465352,1,6,1,195,D,1,D,09,D,381,E,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465392,1,0,1,140,D,1,D,10,D,232,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465522,1,0,1,120,D,1,D,09,D,195,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04465522,2,0,1,140,D,1,D,09,D,1100,D,,A,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04466052,1,0,1,120,D,1,D,08,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04466322,1,0,1,195,D,1,D,08,D,1240,D,,A,410,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04466332,2,0,1,195,D,1,D,10,D,1400,D,,A,410,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04466722,1,0,1,140,D,3,D,09,D,383,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04467014,1,0,1,100,D,1,D,09,D,850,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04467014,2,0,1,210,D,1,D,09,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04467014,3,0,1,140,D,1,D,09,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04467014,4,0,1,160,D,1,D,09,D,810,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04467014,5,0,1,180,D,1,D,10,D,134,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04467362,1,0,1,140,D,3,D,09,D,713,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04467432,1,0,1,195,D,1,D,10,D,239,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04468602,1,0,1,120,D,1,D,09,D,169,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04468702,1,0,1,195,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04468702,2,0,1,195,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04469382,1,0,1,180,D,1,D,08,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04469412,1,0,1,160,D,1,D,09,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04469542,3,0,1,140,D,1,D,08,D,5000,D,,A,150,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04470062,1,0,1,195,D,1,D,09,D,642,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04470072,1,0,1,120,D,1,D,08,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04470072,2,0,1,140,D,1,D,09,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04470712,1,0,2,140,D,1,D,08,D,2000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20204,04471802,1,0,1,195,D,1,D,10,D,625,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
