QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNPURY,FURN_URY,FURNMO,FURNMO_,FURNGFTC,FURN_FTC,FURNPURX,FURN_URX,FRNPRY1,FRNPRY1_,FRNPRY2,FRNPRY2_,FRNPRY3,FRNPRY3_,FRNPRY4,FRNPRY4_,FRNPRY5,FRNPRY5_,FRNPRY6,FRNPRY6_,FRNPRY7,FRNPRY7_,FRNPRY8,FRNPRY8_,FRNPRY9,FRNPRY9_
20202,04217804,3,0,1,201,D,01,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217844,5,0,1,201,D,02,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217844,6,0,1,214,D,02,D,1,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04217844,7,0,1,200,D,02,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218014,13,0,1,196,D,01,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218014,14,0,2,200,D,01,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218064,6,0,1,106,D,02,D,1,D,,H,101,D,100,D,,A,,A,,A,,A,,A,,A,,A
20202,04218064,6,1,1,101,D,02,D,1,D,573,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218064,6,2,1,100,D,02,D,1,D,627,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218064,7,0,1,140,D,03,D,1,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,14,0,1,173,D,01,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218074,15,0,1,180,D,02,D,1,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218084,8,0,1,150,D,02,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218134,10,0,1,201,D,01,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218224,9,0,1,200,D,02,D,1,D,98,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218354,11,0,1,107,D,02,D,1,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218354,12,0,1,173,D,02,D,1,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218354,13,0,2,196,D,01,D,1,D,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04218354,14,0,2,180,D,01,D,1,D,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
