QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_
20202,04217314,44,0,2,500,D,2,D,200,D,01,D
20202,04217314,45,0,2,500,D,1,D,200,D,01,D
20202,04217314,46,0,2,600,D,1,D,100,D,01,D
20202,04217314,47,0,2,520,D,1,D,50,D,01,D
20202,04217354,33,0,1,355,D,1,D,13,D,13,D
20202,04217374,28,0,1,400,D,1,D,133,D,03,D
20202,04217394,16,0,1,520,D,1,D,40,D,02,D
20202,04217404,25,0,1,830,D,1,D,33,D,13,D
20202,04217404,26,0,1,830,D,1,D,54,D,03,D
20202,04217404,27,0,1,500,D,1,D,200,D,01,D
20202,04217404,28,0,1,520,D,1,D,18,D,02,D
20202,04217404,29,0,1,330,D,1,D,11,D,13,D
20202,04217404,30,0,1,355,D,1,D,27,D,13,D
20202,04217404,31,0,1,370,D,1,D,20,D,03,D
20202,04217404,32,0,1,400,D,1,D,30,D,03,D
20202,04217414,22,0,1,830,D,1,D,44,D,01,D
20202,04217414,23,0,1,830,D,1,D,44,D,02,D
20202,04217464,19,0,1,830,D,1,D,40,D,13,D
20202,04217494,22,0,1,340,D,1,D,38,D,01,D
20202,04217514,29,0,1,520,D,1,D,10,D,01,D
20202,04217514,30,0,1,210,D,1,D,15,D,01,D
20202,04217544,15,0,1,355,D,1,D,35,D,13,D
20202,04217574,30,0,1,150,D,1,D,15,D,02,D
20202,04217574,31,0,1,150,D,1,D,15,D,03,D
20202,04217574,32,0,1,210,D,1,D,30,D,13,D
20202,04217574,33,0,2,520,D,1,D,15,D,01,D
20202,04217574,34,0,2,150,D,1,D,15,D,01,D
20202,04217804,16,0,1,355,D,1,D,18,D,13,D
20202,04217844,31,0,1,520,D,1,D,17,D,02,D
20202,04217844,32,0,1,370,D,1,D,160,D,03,D
20202,04217984,26,0,1,840,D,1,D,45,D,01,D
20202,04217984,27,0,1,840,D,1,D,45,D,02,D
20202,04217984,28,0,1,150,D,1,D,63,D,01,D
20202,04217984,29,0,1,150,D,1,D,20,D,01,D
20202,04217984,30,0,1,150,D,1,D,20,D,02,D
20202,04217984,31,0,1,150,D,1,D,20,D,03,D
20202,04218014,47,0,1,830,D,1,D,48,D,13,D
20202,04218014,48,0,1,520,D,1,D,20,D,01,D
20202,04218014,49,0,1,355,D,1,D,12,D,13,D
20202,04218014,50,0,1,700,D,1,D,10,D,13,D
20202,04218014,51,0,1,700,D,1,D,30,D,13,D
20202,04218074,42,0,1,830,D,1,D,48,D,13,D
20202,04218074,43,0,1,210,D,1,D,35,D,02,D
20202,04218074,44,0,1,210,D,2,D,35,D,03,D
20202,04218074,45,0,1,330,D,1,D,8,D,13,D
20202,04218074,46,0,1,320,D,1,D,80,D,03,D
20202,04218084,35,0,1,810,D,1,D,125,D,01,D
20202,04218084,36,0,1,810,D,1,D,20,D,01,D
20202,04218084,37,0,1,150,D,1,D,39,D,01,D
20202,04218084,38,0,1,210,D,1,D,13,D,02,D
20202,04218084,39,0,1,355,D,1,D,9,D,13,D
20202,04218134,43,0,1,210,D,1,D,70,D,01,D
20202,04218134,44,0,1,355,D,1,D,13,D,13,D
20202,04218204,19,0,1,500,D,1,D,14,D,02,D
20202,04218284,30,0,1,610,D,1,D,50,D,01,D
20202,04218284,31,0,2,840,D,1,D,115,D,01,D
20202,04218284,32,0,2,530,D,1,D,95,D,01,D
20202,04218284,33,0,2,355,D,1,D,4,D,01,D
20202,04218354,46,0,1,830,D,1,D,21,D,13,D
20202,04218354,47,0,1,840,D,1,D,100,D,03,D
20202,04218354,48,0,1,840,D,1,D,13,D,01,D
20202,04218354,49,0,1,840,D,1,D,13,D,02,D
20202,04218354,50,0,1,840,D,1,D,13,D,03,D
20202,04218374,18,0,1,610,D,1,D,75,D,03,D
20202,04218444,37,0,1,830,D,1,D,23,D,13,D
20202,04218444,38,0,1,320,D,1,D,17,D,03,D
20202,04218444,39,0,1,700,D,1,D,161,D,03,D
20202,04218444,40,0,1,355,D,1,D,52,D,13,D
20202,04218524,28,0,1,500,D,1,D,150,D,01,D
20202,04218524,29,0,1,700,D,1,D,61,D,13,D
20202,04218614,46,0,1,840,D,1,D,65,D,01,D
20202,04218614,47,0,1,210,D,1,D,40,D,03,D
20202,04218614,48,0,1,700,D,1,D,23,D,13,D
20202,04218614,49,0,1,330,D,1,D,10,D,13,D
20202,04218614,50,0,1,370,D,1,D,130,D,02,D
20202,04218624,20,0,2,700,D,1,D,125,D,01,D
