QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMYUPD,NUMYUPD_,TOTYUPDX,TOTY_PDX,TOTYUPDY,TOTY_PDY
20202,04385991,26,1,1,,A,272,E,100,D
20202,04385991,26,2,1,,A,101,E,110,D
20202,04385991,26,3,1,,A,130,E,120,D
20202,04385991,26,4,1,,A,534,E,130,D
20202,04385991,26,5,1,,A,1475,E,150,D
20202,04385991,26,6,1,,A,283,E,180,D
20202,04385991,26,7,1,,A,205,E,190,D
20202,04386872,57,0,1,11,D,,H,,A
20202,04386872,57,1,1,,A,250,E,210,D
20202,04386872,57,2,1,,A,300,E,220,D
20202,04387701,21,0,1,1,D,,H,,A
20202,04387701,21,1,1,,A,110,E,100,D
20202,04387701,21,2,1,,A,36,E,110,D
20202,04387701,21,3,1,,A,154,E,130,D
20202,04388694,54,0,1,1,D,,H,,A
20202,04388694,54,1,1,,A,28,E,210,D
20202,04388694,54,2,1,,A,32,E,220,D
20202,04389003,32,0,1,1,D,,H,,A
20202,04389003,32,1,1,,A,226,E,100,D
20202,04389003,32,2,1,,A,74,E,110,D
20202,04392151,11,0,1,1,D,,H,,A
20202,04392151,11,1,1,,A,6,E,120,D
20202,04392151,11,2,1,,A,1,E,140,D
20202,04392151,11,3,1,,A,17,E,150,D
20202,04392151,11,4,1,,A,2,E,190,D
20202,04393951,20,0,1,1,D,,H,,A
20202,04393951,20,1,1,,A,54,E,100,D
20202,04393951,20,2,1,,A,10,E,110,D
20202,04393951,20,3,1,,A,13,E,120,D
20202,04393951,20,4,1,,A,7,E,140,D
20202,04393951,20,5,1,,A,78,E,150,D
20202,04393951,20,6,1,,A,38,E,190,D
20202,04394981,50,0,1,2,D,,H,,A
20202,04394981,50,1,1,,A,24,E,100,D
20202,04394981,50,2,1,,A,8,E,110,D
20202,04398951,13,0,1,1,D,,H,,A
20202,04398951,13,1,1,,A,25,E,100,D
20202,04398951,13,2,1,,A,6,E,110,D
20202,04398951,13,3,1,,A,39,E,210,D
20202,04400091,30,0,1,1,D,,H,,A
20202,04400091,30,1,1,,A,24,E,100,D
20202,04400091,30,2,1,,A,11,E,110,D
20202,04400194,40,0,1,2,D,,H,,A
20202,04400194,40,1,1,,A,9,E,100,D
20202,04400194,40,2,1,,A,3,E,110,D
20202,04400194,40,3,1,,A,4,E,120,D
20202,04400194,40,4,1,,A,17,E,130,D
20202,04400194,40,5,1,,A,52,E,150,D
20202,04400194,40,6,1,,A,9,E,180,D
20202,04400194,40,7,1,,A,6,E,190,D
20202,04401001,29,0,1,1,D,,H,,A
20202,04401001,29,1,1,,A,67,G,100,D
20202,04401001,29,2,1,,A,23,G,110,D
20202,04403031,750,0,1,2,D,,H,,A
20202,04403031,750,1,1,,A,76,E,100,D
20202,04403031,750,2,1,,A,24,E,110,D
20202,04403911,29,0,1,1,D,,H,,A
20202,04403911,29,1,1,,A,14,E,100,D
20202,04403911,29,2,1,,A,5,E,110,D
20202,04403911,29,3,1,,A,10,E,120,D
20202,04403911,29,4,1,,A,80,E,150,D
20202,04403911,29,5,1,,A,15,E,180,D
20202,04403911,29,6,1,,A,11,E,190,D
20202,04410661,17,0,1,1,D,,H,,A
20202,04410661,17,1,1,,A,37,E,100,D
20202,04410661,17,2,1,,A,17,E,110,D
20202,04410661,17,3,1,,A,7,E,120,D
20202,04410661,17,4,1,,A,100,E,150,D
20202,04410661,17,5,1,,A,29,E,190,D
20202,04415303,19,0,1,1,D,,H,,A
20202,04415303,19,1,1,,A,41,E,100,D
20202,04415303,19,2,1,,A,15,E,110,D
20202,04415303,19,3,1,,A,23,E,120,D
20202,04415303,19,4,1,,A,227,E,150,D
20202,04415303,19,5,1,,A,43,E,180,D
20202,04415303,19,6,1,,A,31,E,190,D
20202,04419071,23,0,1,1,D,,H,,A
20202,04419071,23,1,1,,A,53,E,100,D
20202,04419071,23,2,1,,A,10,E,110,D
20202,04419071,23,3,1,,A,7,E,210,D
20202,04419071,23,4,1,,A,5,E,220,D
20203,04267374,24,0,1,1,D,,H,,A
20203,04267374,24,1,1,,A,41,E,100,D
20203,04267374,24,2,1,,A,34,E,110,D
20203,04271804,69,0,1,1,D,,H,,A
20203,04271804,69,1,1,,A,164,E,100,D
20203,04271804,69,2,1,,A,136,E,110,D
20203,04274294,42,0,1,1,D,,H,,A
20203,04274294,42,1,1,,A,34,E,100,D
20203,04274294,42,2,1,,A,11,E,110,D
20203,04274294,42,3,1,,A,14,E,120,D
20203,04274294,42,4,1,,A,1,E,140,D
20203,04274694,25,0,1,1,D,,H,,A
20203,04274694,25,1,1,,A,33,E,100,D
20203,04274694,25,2,1,,A,27,E,110,D
20203,04275194,24,0,1,1,D,,H,,A
20203,04275194,24,1,1,,A,80,E,100,D
20203,04275194,24,2,1,,A,65,E,110,D
20203,04277934,39,0,1,3,D,,H,,A
20203,04277934,39,1,1,,A,15,E,100,D
20203,04277934,39,2,1,,A,4,E,110,D
20203,04277934,39,3,1,,A,52,E,130,D
20203,04279604,57,0,1,1,D,,H,,A
20203,04279604,57,1,1,,A,47,E,100,D
20203,04279604,57,2,1,,A,17,E,110,D
20203,04279604,57,3,1,,A,23,E,120,D
20203,04279604,57,4,1,,A,167,E,150,D
20203,04279604,57,5,1,,A,1,E,160,D
20203,04279604,57,6,1,,A,20,E,190,D
20203,04280804,27,0,1,1,D,,H,,A
20203,04280804,27,1,1,,A,370,E,100,D
20203,04280804,27,2,1,,A,145,E,110,D
20203,04280804,27,3,1,,A,109,E,120,D
20203,04280804,27,4,1,,A,632,E,150,D
20203,04280804,27,5,1,,A,44,E,210,D
20203,04281594,26,0,1,1,D,,H,,A
20203,04281594,26,1,1,,A,700,E,130,D
20203,04282604,27,0,1,1,D,,H,,A
20203,04282604,27,1,1,,A,101,E,100,D
20203,04282604,27,2,1,,A,81,E,110,D
20203,04282604,27,3,1,,A,52,E,120,D
20203,04282604,27,4,1,,A,142,E,130,D
20203,04282604,27,5,1,,A,9,E,140,D
20203,04282604,27,6,1,,A,115,E,150,D
20203,04282754,20,0,1,1,D,,H,,A
20203,04282754,20,1,1,,A,12,E,210,D
20203,04282754,20,2,1,,A,18,E,220,D
20203,04283054,26,0,1,1,D,,H,,A
20203,04283054,26,1,1,,A,31,E,100,D
20203,04283054,26,2,1,,A,11,E,110,D
20203,04283054,26,3,1,,A,8,E,120,D
20203,04283054,26,4,1,,A,50,E,150,D
20203,04287264,26,0,1,1,D,,H,,A
20203,04287264,26,1,1,,A,229,E,100,D
20203,04287264,26,2,1,,A,62,E,110,D
20203,04287264,26,3,1,,A,309,E,130,D
20203,04291724,29,0,1,1,D,,H,,A
20203,04291724,29,1,1,,A,175,E,100,D
20203,04291724,29,2,1,,A,69,E,110,D
20203,04291724,29,3,1,,A,54,E,120,D
20203,04291724,29,4,1,,A,302,E,150,D
