QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20202,04220844,6,0,1,100,D,1,D,,A,13,D,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220884,8,0,1,300,D,2,D,1,D,13,D,,A,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220884,9,0,1,310,D,2,D,,A,13,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220884,10,0,1,320,D,2,D,,A,01,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220884,11,0,1,320,D,2,D,,A,02,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220884,12,0,1,320,D,2,D,,A,03,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04220884,13,0,1,100,D,1,D,,A,13,D,,A,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221004,3,0,1,320,D,1,D,,A,01,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221004,4,0,1,320,D,1,D,,A,02,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221004,5,0,1,320,D,1,D,,A,03,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221034,2,0,1,360,D,1,D,2,D,02,D,,A,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221074,17,0,1,300,D,1,D,1,D,03,D,,A,159,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221094,5,0,1,360,D,1,D,5,D,03,D,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221264,5,0,1,300,D,1,D,1,D,01,D,,A,524,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221264,6,0,1,345,D,1,D,,A,01,D,,A,62,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221354,17,0,1,345,D,1,D,,A,13,D,,A,228,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221354,18,0,1,345,D,1,D,,A,13,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221374,9,0,1,100,D,1,D,,A,13,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221524,3,0,1,200,D,1,D,,A,01,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221524,4,0,1,200,D,1,D,,A,02,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221524,5,0,1,200,D,1,D,,A,03,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221964,6,0,1,200,D,1,D,,A,13,D,250,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221964,7,0,1,300,D,1,D,2,D,13,D,,A,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,8,0,1,100,D,1,D,,A,13,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,9,0,1,200,D,1,D,,A,01,D,,A,894,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,10,0,1,200,D,1,D,,A,02,D,,A,874,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,11,0,1,200,D,1,D,,A,03,D,,A,874,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04221974,12,0,1,350,D,1,D,3,D,01,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222054,3,0,2,350,D,1,D,1,D,01,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,14,0,1,100,D,1,D,,A,13,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,15,0,1,100,D,1,D,,A,13,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,16,0,1,100,D,1,D,,A,13,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,17,0,1,100,D,1,D,,A,03,D,,A,360,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222134,18,0,1,300,D,1,D,2,D,01,D,,A,405,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222214,6,0,1,360,D,1,D,6,D,03,D,,A,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222804,2,0,1,200,D,1,D,,A,13,D,,A,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222974,4,0,2,350,D,1,D,1,D,01,D,,A,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222994,6,0,1,370,D,1,D,1,D,01,D,,A,,H,350,D,300,D,,A,,A,,A,,A,,A,,A,,A
20202,04222994,6,1,1,350,D,1,D,1,D,01,D,,A,53,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20202,04222994,6,2,1,300,D,1,D,1,D,01,D,,A,547,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
